severity	event_type	display_message	uuid	version	timestamp	outcome.result	outcome.reason	actor.id	actor.type	actor.display_name	actor.alternate_id	authentication_context.authentication_step	authentication_context.authentication_provider	authentication_context.credential_provider	authentication_context.credential_type	authentication_context.issuer	authentication_context.external_session_id	client.zone	client.ip_address	client.device	client.user_agent.raw_user_agent	client.user_agent.os	client.user_agent.browser	client.geographical_context.country	client.geographical_context.city	client.geographical_context.postal_code	client.geographical_context.geolocation.lon	client.geographical_context.geolocation.lat	transaction.id	transaction.type	debug_context.debug_data.request_uri	legacy_event_type	target0.id	target0.type	target0.alternate_id	target0.display_name	target1.id	target1.type	target1.alternate_id	target1.display_name	target2.id	target2.type	target2.alternate_id	target2.display_name	target3.id	target3.type	target3.alternate_id	target3.display_name
WARN	user.session.start	User login to Okta	10cc7f7e-19fd-4186-9028-2fdbc9699d34	0	2018-12-06T03:19:22.494Z	FAILURE	INVALID_CREDENTIALS	00u1ul4mozQCM7qTS355	User	John Doe	jdoe@acme.com	0					unknown	null	2001:569:bdfb:f600:8936:c688:5ad0:6c43	unknown	unknown	unknown	unknown	Canada	Victoria	V8Z	-123.4003	48.4993	XAiVOgIh63ttyB0W92K4GwAADjo	WEB	/app/office365/exk1uhg7CDuio8MKn355/sso/wsfed/active	core.user_auth.login_failed																
WARN	user.authentication.auth_via_richclient	Authentication of a user via Rich Client	3bb7a868-9537-48e7-8ed5-d47b1a4a5c20	0	2018-12-06T03:19:22.887Z	FAILURE		00u1ul4mozQCM7qTS355	User	John Doe	jdoe@acme.com	0					unknown	null	2001:569:bdfb:f600:8936:c688:5ad0:6c43	unknown	unknown	unknown	unknown	Canada	Victoria	V8Z	-123.4003	48.4993	XAiVOm8TMk2oby33Fdgk7gAABt0	WEB	/app/office365/exk1uhg7CDuio8MKn355/sso/wsfed/active	app.rich_client.login_failure	0oa1uhg86q0mMr8lb355	AppInstance	Microsoft Office 365	Microsoft Office 365	0ua21cjq4uOjWj2aN355	AppUser	jdoe@acme.com	John Doe								
WARN	user.authentication.auth_via_richclient	Authentication of a user via Rich Client	4df24868-9ea5-40cd-ab68-32d1c5fc3ca1	0	2018-12-06T03:29:22.119Z	FAILURE		00u1ul4mozQCM7qTS355	User	John Doe	jdoe@acme.com	0					unknown	null	2001:569:bdfb:f600:8936:c688:5ad0:6c43	unknown	unknown	unknown	unknown	Canada	Victoria	V8Z	-123.4003	48.4993	XAiXkndV7iqEoCmsNJCpQgAAEU0	WEB	/app/office365/exk1uhg7CDuio8MKn355/sso/wsfed/active	app.rich_client.login_failure	0oa1uhg86q0mMr8lb355	AppInstance	Microsoft Office 365	Microsoft Office 365	0ua21cjq4uOjWj2aN355	AppUser	jdoe@acme.com	John Doe								
WARN	user.authentication.auth_via_richclient	Authentication of a user via Rich Client	733bbcfd-ef5f-40f9-a94b-7f5b96de4418	0	2018-12-06T03:29:21.906Z	FAILURE		00u1ul4mozQCM7qTS355	User	John Doe	jdoe@acme.com	0					unknown	null	2001:569:bdfb:f600:8936:c688:5ad0:6c43	unknown	unknown	unknown	unknown	Canada	Victoria	V8Z	-123.4003	48.4993	XAiXkUVLbda7qutTDVpyrgAABRw	WEB	/app/office365/exk1uhg7CDuio8MKn355/sso/wsfed/active	app.rich_client.login_failure	0oa1uhg86q0mMr8lb355	AppInstance	Microsoft Office 365	Microsoft Office 365	0ua21cjq4uOjWj2aN355	AppUser	jdoe@acme.com	John Doe								
WARN	user.authentication.auth_via_richclient	Authentication of a user via Rich Client	934032dc-5b37-4a2b-b4ed-41d39359822c	0	2018-12-06T03:39:22.327Z	FAILURE		00u1ul4mozQCM7qTS355	User	John Doe	jdoe@acme.com	0					unknown	null	2001:569:bdfb:f600:8936:c688:5ad0:6c43	unknown	unknown	unknown	unknown	Canada	Victoria	V8Z	-123.4003	48.4993	XAiZ6ko1cKh3Wir8Lw90fgAAAgE	WEB	/app/office365/exk1uhg7CDuio8MKn355/sso/wsfed/active	app.rich_client.login_failure	0oa1uhg86q0mMr8lb355	AppInstance	Microsoft Office 365	Microsoft Office 365	0ua21cjq4uOjWj2aN355	AppUser	jdoe@acme.com	John Doe								
WARN	user.authentication.auth_via_richclient	Authentication of a user via Rich Client	a811855a-2ab8-4443-943b-010a1caf28d0	0	2018-12-06T03:39:21.729Z	FAILURE		00u1ul4mozQCM7qTS355	User	John Doe	jdoe@acme.com	0					unknown	null	2001:569:bdfb:f600:8936:c688:5ad0:6c43	unknown	unknown	unknown	unknown	Canada	Victoria	V8Z	-123.4003	48.4993	XAiZ6f7aJeF2hKNnIfzHGQAAA40	WEB	/app/office365/exk1uhg7CDuio8MKn355/sso/wsfed/active	app.rich_client.login_failure	0oa1uhg86q0mMr8lb355	AppInstance	Microsoft Office 365	Microsoft Office 365	0ua21cjq4uOjWj2aN355	AppUser	jdoe@acme.com	John Doe								
WARN	user.authentication.auth_via_richclient	Authentication of a user via Rich Client	0c13c658-e153-46b8-9d5a-bf7ee822d7ab	0	2018-12-06T03:59:22.664Z	FAILURE		00u1ul4mozQCM7qTS355	User	John Doe	jdoe@acme.com	0					unknown	null	2001:569:bdfb:f600:8936:c688:5ad0:6c43	unknown	unknown	unknown	unknown	Canada	Victoria	V8Z	-123.4003	48.4993	XAiems2r9Nyyyesp8mC8OQAAAHQ	WEB	/app/office365/exk1uhg7CDuio8MKn355/sso/wsfed/active	app.rich_client.login_failure	0oa1uhg86q0mMr8lb355	AppInstance	Microsoft Office 365	Microsoft Office 365	0ua21cjq4uOjWj2aN355	AppUser	jdoe@acme.com	John Doe								
WARN	user.authentication.auth_via_richclient	Authentication of a user via Rich Client	0e3c46ed-835b-4f71-8b6e-7c2c96108e5f	0	2018-12-06T03:59:26.152Z	FAILURE		00u1ul4mozQCM7qTS355	User	John Doe	jdoe@acme.com	0					unknown	null	2001:569:bdfb:f600:8936:c688:5ad0:6c43	unknown	unknown	unknown	unknown	Canada	Victoria	V8Z	-123.4003	48.4993	XAienm8TMk2oby33FdjkpQAABq8	WEB	/app/office365/exk1uhg7CDuio8MKn355/sso/wsfed/active	app.rich_client.login_failure	0oa1uhg86q0mMr8lb355	AppInstance	Microsoft Office 365	Microsoft Office 365	0ua21cjq4uOjWj2aN355	AppUser	jdoe@acme.com	John Doe								
WARN	user.authentication.auth_via_richclient	Authentication of a user via Rich Client	54397a61-d316-498b-be26-6a76326fcd72	0	2018-12-06T02:39:21.423Z	FAILURE		00u1ul4mozQCM7qTS355	User	John Doe	jdoe@acme.com	0					unknown	null	2001:569:bdfb:f600:2c2d:13dd:63c9:c137	unknown	unknown	unknown	unknown	Canada	Victoria	V8Z	-123.4003	48.4993	XAiL2cROEMIZFly@Yi8i@gAAEwY	WEB	/app/office365/exk1uhg7CDuio8MKn355/sso/wsfed/active	app.rich_client.login_failure	0oa1uhg86q0mMr8lb355	AppInstance	Microsoft Office 365	Microsoft Office 365	0ua21cjq4uOjWj2aN355	AppUser	jdoe@acme.com	John Doe								
WARN	user.authentication.auth_via_richclient	Authentication of a user via Rich Client	52c68946-e2cc-4ead-9f25-f557426ad35e	0	2018-12-06T02:39:22.208Z	FAILURE		00u1ul4mozQCM7qTS355	User	John Doe	jdoe@acme.com	0					unknown	null	2001:569:bdfb:f600:2c2d:13dd:63c9:c137	unknown	unknown	unknown	unknown	Canada	Victoria	V8Z	-123.4003	48.4993	XAiL2opdFDlcq0e@KeMHMQAAAKQ	WEB	/app/office365/exk1uhg7CDuio8MKn355/sso/wsfed/active	app.rich_client.login_failure	0oa1uhg86q0mMr8lb355	AppInstance	Microsoft Office 365	Microsoft Office 365	0ua21cjq4uOjWj2aN355	AppUser	jdoe@acme.com	John Doe								
